YNL271C (Null)|YNL289W (Null)	slow growth	Results of large-scale study. Interaction confirmed by tetrad analysis.	Tong AH, et al. (2001) Systematic genetic analysis with ordered arrays of yeast deletion mutants. Science 294(5550):2364-8	11743205
YJL187C (Null)|YNL271C (Null)	slow growth	Results of large-scale study. Interaction confirmed by tetrad analysis.	Tong AH, et al. (2001) Systematic genetic analysis with ordered arrays of yeast deletion mutants. Science 294(5550):2364-8	11743205
YER111C (Null)|YNL271C (Null)	inviable	Results of large-scale study. Interaction confirmed by tetrad analysis.	Tong AH, et al. (2004) Global Mapping of the Yeast Genetic Interaction Network. Science 303(5659):808-813	14764870
YJL020C (Null)|YNL271C (Null)	slow growth	Results of large-scale study. Interaction confirmed by tetrad analysis.	Tong AH, et al. (2001) Systematic genetic analysis with ordered arrays of yeast deletion mutants. Science 294(5550):2364-8	11743205
YBR200W (Null)|YNL271C (Null)	inviable	Results of large-scale study. Interaction confirmed by tetrad analysis.	Tong AH, et al. (2001) Systematic genetic analysis with ordered arrays of yeast deletion mutants. Science 294(5550):2364-8	11743205
YER155C (Null)|YNL271C (Null)	inviable	Results of large-scale study. Interaction confirmed by tetrad analysis.	Tong AH, et al. (2001) Systematic genetic analysis with ordered arrays of yeast deletion mutants. Science 294(5550):2364-8	11743205
YPL161C (Null)|YNL271C (Null)	slow growth	Results of large-scale study. Interaction confirmed by tetrad analysis.	Tong AH, et al. (2001) Systematic genetic analysis with ordered arrays of yeast deletion mutants. Science 294(5550):2364-8	11743205
YLR319C (Null)|YNL271C (Null)	slow growth	Results of large-scale study. Interaction confirmed by tetrad analysis.	Tong AH, et al. (2001) Systematic genetic analysis with ordered arrays of yeast deletion mutants. Science 294(5550):2364-8	11743205
YNL298W (Null)|YNL271C (Null)	inviable	Results of large-scale study. Interaction confirmed by tetrad analysis.	Tong AH, et al. (2001) Systematic genetic analysis with ordered arrays of yeast deletion mutants. Science 294(5550):2364-8	11743205
YKL048C (Null)|YNL271C (Null)	slow growth	Results of large-scale study. Interaction confirmed by tetrad analysis.	Tong AH, et al. (2001) Systematic genetic analysis with ordered arrays of yeast deletion mutants. Science 294(5550):2364-8	11743205
YDR507C (Null)|YNL271C (Null)	inviable	Results of large-scale study. Interaction confirmed by tetrad analysis.	Tong AH, et al. (2001) Systematic genetic analysis with ordered arrays of yeast deletion mutants. Science 294(5550):2364-8	11743205
YKR048C (Null)|YNL271C (Null)	slow growth	Results of large-scale study. Interaction confirmed by tetrad analysis.	Tong AH, et al. (2001) Systematic genetic analysis with ordered arrays of yeast deletion mutants. Science 294(5550):2364-8	11743205
YDR162C (Null)|YNL271C (Null)	slow growth	Results of large-scale study. Interaction confirmed by tetrad analysis.	Tong AH, et al. (2001) Systematic genetic analysis with ordered arrays of yeast deletion mutants. Science 294(5550):2364-8	11743205
YBL007C (Null)|YNL271C (Null)	slow growth	Results of large-scale study. Interaction confirmed by tetrad analysis.	Tong AH, et al. (2001) Systematic genetic analysis with ordered arrays of yeast deletion mutants. Science 294(5550):2364-8	11743205
YAL020C (Null)|YNL271C (Null)	inviable	Results of large-scale study. Interaction confirmed by tetrad analysis.	Tong AH, et al. (2001) Systematic genetic analysis with ordered arrays of yeast deletion mutants. Science 294(5550):2364-8	11743205
YDR159W (Null)|YNL271C (Null)	slow growth	Results of large-scale study. Interaction confirmed by tetrad analysis.	Tong AH, et al. (2004) Global Mapping of the Yeast Genetic Interaction Network. Science 303(5659):808-813	14764870
YLR200W (Null)|YNL271C (Null)	slow growth	Results of large-scale study. Interaction confirmed by tetrad analysis.	Tong AH, et al. (2001) Systematic genetic analysis with ordered arrays of yeast deletion mutants. Science 294(5550):2364-8	11743205
YJL095W (Null)|YNL271C (Null)	inviable	Results of large-scale study. Interaction confirmed by tetrad analysis.	Tong AH, et al. (2001) Systematic genetic analysis with ordered arrays of yeast deletion mutants. Science 294(5550):2364-8	11743205
YBR023C (Null)|YNL271C (Null)	slow growth	Results of large-scale study. Interaction confirmed by tetrad analysis.	Tong AH, et al. (2001) Systematic genetic analysis with ordered arrays of yeast deletion mutants. Science 294(5550):2364-8	11743205
YLR330W (Null)|YNL271C (Null)	slow growth	Results of large-scale study. Interaction confirmed by tetrad analysis.	Tong AH, et al. (2001) Systematic genetic analysis with ordered arrays of yeast deletion mutants. Science 294(5550):2364-8	11743205
YHR142W (Null)|YNL271C (Null)	slow growth	Results of large-scale study. Interaction confirmed by tetrad analysis.	Tong AH, et al. (2001) Systematic genetic analysis with ordered arrays of yeast deletion mutants. Science 294(5550):2364-8	11743205
YBL061C (Null)|YNL271C (Null)	slow growth	Results of large-scale study. Interaction confirmed by tetrad analysis.	Tong AH, et al. (2001) Systematic genetic analysis with ordered arrays of yeast deletion mutants. Science 294(5550):2364-8	11743205
YHR030C (Null)|YNL271C (Null)	inviable	Results of large-scale study. Interaction confirmed by tetrad analysis.	Tong AH, et al. (2001) Systematic genetic analysis with ordered arrays of yeast deletion mutants. Science 294(5550):2364-8	11743205
YGR229C (Null)|YNL271C (Null)	inviable	Results of large-scale study. Interaction confirmed by tetrad analysis.	Tong AH, et al. (2001) Systematic genetic analysis with ordered arrays of yeast deletion mutants. Science 294(5550):2364-8	11743205
YNL233W (Null)|YNL271C (Null)	slow growth	Results of large-scale study. Interaction confirmed by tetrad analysis.	Tong AH, et al. (2001) Systematic genetic analysis with ordered arrays of yeast deletion mutants. Science 294(5550):2364-8	11743205
YIL159W (Null)|YNL271C (Null)	inviable	Results of large-scale study. Interaction confirmed by tetrad analysis.	Tong AH, et al. (2001) Systematic genetic analysis with ordered arrays of yeast deletion mutants. Science 294(5550):2364-8	11743205
YDL117W (Null)|YNL271C (Null)	slow growth	Results of large-scale study. Interaction confirmed by tetrad analysis.	Tong AH, et al. (2001) Systematic genetic analysis with ordered arrays of yeast deletion mutants. Science 294(5550):2364-8	11743205
YDL225W (Null)|YNL271C (Null)	inviable	Results of large-scale study. Interaction confirmed by tetrad analysis.	Tong AH, et al. (2001) Systematic genetic analysis with ordered arrays of yeast deletion mutants. Science 294(5550):2364-8	11743205
